uniprot_id	protein_name	gene_names	protein_full_name
P22626	ROA2	HNRNPA2B1 HNRPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)
P19525	E2AK2	EIF2AK2 PKR PRKR	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)
Q9Y5S9	RBM8A	RBM8A RBM8 HSPC114 MDS014	RNA-binding protein 8A (Binder of OVCA1-1) (BOV-1) (RNA-binding motif protein 8A) (RNA-binding protein Y14) (Ribonucleoprotein RBM8A)
P05090	APOD	APOD	Apolipoprotein D (Apo-D) (ApoD)
Q96AG3	S2546	SLC25A46 TB1	Mitochondrial outer membrane protein SLC25A46 (Solute carrier family 25 member 46)
Q9Y561	LRP12	LRP12 ST7	Low-density lipoprotein receptor-related protein 12 (LDLR-related protein 12) (LRP-12) (Suppressor of tumorigenicity 7 protein)
Q12891	HYAL2	HYAL2 LUCA2	Hyaluronidase-2 (Hyal-2) (EC 3.2.1.35) (Hyaluronoglucosaminidase-2) (Lung carcinoma protein 2) (LuCa-2)
Q15678	PTN14	PTPN14 PEZ PTPD2	Tyrosine-protein phosphatase non-receptor type 14 (EC 3.1.3.48) (Protein-tyrosine phosphatase pez)
Q12872	SFSWA	SFSWAP SFRS8 SWAP	Splicing factor, suppressor of white-apricot homolog (Splicing factor, arginine/serine-rich 8) (Suppressor of white apricot protein homolog)
Q9NSG2	FIRRM	FIRRM APOLO1 C1orf112	FIGNL1-interacting regulator of recombination and mitosis (FIDGETIN-like-1 interacting protein) (FLIP) (POLO1-associating protein)
P11362	FGFR1	FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR	Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)
Q3KQV3	ZN792	ZNF792	Zinc finger protein 792
P10586	PTPRF	PTPRF LAR	Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR)
P04114	APOB	APOB	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]
Q9BPW5	RSLBB	RASL11B	Ras-like protein family member 11B (EC 3.6.5.2)
Q9UI14	PRAF1	RABAC1 PRA1 PRAF1	Prenylated Rab acceptor protein 1 (PRA1 family protein 1)
Q9NSA3	CNBP1	CTNNBIP1 ICAT	Beta-catenin-interacting protein 1 (Inhibitor of beta-catenin and Tcf-4)
P42677	RS27	RPS27 MPS1	Small ribosomal subunit protein eS27 (40S ribosomal protein S27) (Metallopan-stimulin 1) (MPS-1)
Q16650	TBR1	TBR1	T-box brain protein 1 (T-brain-1) (TBR-1) (TES-56)
Q8IXB3	TARG1	TRARG1 IFITMD3 LOST1 TUSC5	Trafficking regulator of GLUT4 1 (Dispanin subfamily B member 1) (DSPB1) (Interferon-induced transmembrane domain-containing protein D3) (Protein located at seventeen-p-thirteen point three 1) (Tumor suppressor candidate 5)
Q9NWS0	PIHD1	PIH1D1 NOP17	PIH1 domain-containing protein 1 (Nucleolar protein 17 homolog)
Q6L9W6	B4GN3	B4GALNT3	Beta-1,4-N-acetylgalactosaminyltransferase 3 (B4GalNAcT3) (Beta4GalNAc-T3) (Beta4GalNAcT3) (EC 2.4.1.244) (Beta-1,4-N-acetylgalactosaminyltransferase III) (N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 2) (NGalNAc-T2)
Q9BQD3	KXDL1	KXD1 C19orf50	KxDL motif-containing protein 1
Q13790	APOF	APOF	Apolipoprotein F (Apo-F) (Lipid transfer inhibitor protein) (LTIP)
P22455	FGFR4	FGFR4 JTK2 TKF	Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334)
Q7Z412	PEX26	PEX26	Peroxisome assembly protein 26 (Peroxin-26)
P35544	RS30	FAU	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein (FAU ubiquitin like and ribosomal protein S30 fusion) [Cleaved into: Ubiquitin-like protein FUBI; Small ribosomal subunit protein eS30 (40S ribosomal protein S30)]
Q6ZT12	UBR3	UBR3 KIAA2024 ZNF650	E3 ubiquitin-protein ligase UBR3 (EC 2.3.2.27) (N-recognin-3) (RING-type E3 ubiquitin transferase UBR3) (Ubiquitin-protein ligase E3-alpha-3) (Ubiquitin-protein ligase E3-alpha-III) (Zinc finger protein 650)
P01024	CO3	C3 CPAMD1	Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b (Complement C3b-alpha' chain); Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]
P62841	RS15	RPS15 RIG	Small ribosomal subunit protein uS19 (40S ribosomal protein S15) (RIG protein)
Q9P0L0	VAPA	VAPA VAP33	Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein) (VAP-33)
O43172	PRP4	PRPF4 PRP4	U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4)
O14639	ABLM1	ABLIM1 ABLIM KIAA0059 LIMAB1	Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1) (Actin-binding double zinc finger protein) (LIMAB1) (Limatin)
O60293	ZC3H1	ZFC3H1 CCDC131 KIAA0546 PSRC2	Zinc finger C3H1 domain-containing protein (Coiled-coil domain-containing protein 131) (Proline/serine-rich coiled-coil protein 2)
Q9UBY5	LPAR3	LPAR3 EDG7 LPA3	Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7)
Q96CS3	FAF2	FAF2 ETEA KIAA0887 UBXD8 UBXN3B	FAS-associated factor 2 (UBX domain-containing protein 3B) (UBX domain-containing protein 8)
Q96BA8	CR3L1	CREB3L1 OASIS PSEC0238	Cyclic AMP-responsive element-binding protein 3-like protein 1 (cAMP-responsive element-binding protein 3-like protein 1) (Old astrocyte specifically-induced substance) (OASIS) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 1]
Q9BTE1	DCTN5	DCTN5	Dynactin subunit 5 (Dynactin subunit p25)
O60381	HBP1	HBP1	HMG box-containing protein 1 (HMG box transcription factor 1) (High mobility group box transcription factor 1)
Q96PY6	NEK1	NEK1 KIAA1901	Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)
O96017	CHK2	CHEK2 CDS1 CHK2 RAD53	Serine/threonine-protein kinase Chk2 (EC 2.7.11.1) (CHK2 checkpoint homolog) (Cds1 homolog) (Hucds1) (hCds1) (Checkpoint kinase 2)
P02724	GLPA	GYPA GPA MNS	Glycophorin-A (MN sialoglycoprotein) (PAS-2) (Sialoglycoprotein alpha) (CD antigen CD235a)
P29034	S10A2	S100A2 S100L	Protein S100-A2 (CAN19) (Protein S-100L) (S100 calcium-binding protein A2)
P15289	ARSA	ARSA	Arylsulfatase A (ASA) (EC 3.1.6.8) (Cerebroside-sulfatase) [Cleaved into: Arylsulfatase A component B; Arylsulfatase A component C]
Q9HCS7	SYF1	XAB2 HCNP KIAA1177 SYF1 PP3898	Pre-mRNA-splicing factor SYF1 (Protein HCNP) (XPA-binding protein 2)
Q8TAP4	LMO3	LMO3 RBTN3 RBTNL2 RHOM3	LIM domain only protein 3 (LMO-3) (Neuronal-specific transcription factor DAT1) (Rhombotin-3)
Q9BYN8	RT26	MRPS26 C20orf193 RPMS13	Small ribosomal subunit protein mS26 (28S ribosomal protein S13, mitochondrial) (MRP-S13) (S13mt) (28S ribosomal protein S26, mitochondrial) (MRP-S26) (S26mt)
P61244	MAX	MAX BHLHD4	Protein max (Class D basic helix-loop-helix protein 4) (bHLHd4) (Myc-associated factor X)
Q96A72	MGN2	MAGOHB MAGOH2	Protein mago nashi homolog 2
Q96ME7	ZN512	ZNF512 KIAA1805	Zinc finger protein 512
O43298	ZBT43	ZBTB43 KIAA0414 ZBTB22B ZNF297B	Zinc finger and BTB domain-containing protein 43 (Zinc finger and BTB domain-containing protein 22B) (Zinc finger protein 297B) (ZnF-x)
Q9HA47	UCK1	UCK1 URK1	Uridine-cytidine kinase 1 (UCK 1) (EC 2.7.1.48) (Cytidine monophosphokinase 1) (Uridine monophosphokinase 1)
Q13257	MD2L1	MAD2L1 MAD2	Mitotic spindle assembly checkpoint protein MAD2A (HsMAD2) (Mitotic arrest deficient 2-like protein 1) (MAD2-like protein 1)
G5E962	G5E962	MAGEA11 hCG_1644200	MAGE family member A11 (Melanoma antigen family A, 11, isoform CRA_a)
P12956	XRCC6	XRCC6 G22P1	X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6)
P56557	TM50B	TMEM50B C21orf4 UNQ167/PRO193	Transmembrane protein 50B (HCV p7-trans-regulated protein 3)
Q86XF0	DYR2	DHFR2 DHFRL1 DHFRP4	Dihydrofolate reductase 2, mitochondrial (Dihydrofolate reductase, mitochondrial) (EC 1.5.1.3) (Dihydrofolate reductase-like protein 1)
O95678	K2C75	KRT75 K6HF KB18	Keratin, type II cytoskeletal 75 (Cytokeratin-75) (CK-75) (Keratin-6 hair follicle) (hK6hf) (Keratin-75) (K75) (Type II keratin-K6hf) (Type-II keratin Kb18)
Q16643	DREB	DBN1 D0S117E	Drebrin (Developmentally-regulated brain protein)
P46063	RECQ1	RECQL RECQ1 RECQL1	ATP-dependent DNA helicase Q1 (EC 5.6.2.4) (DNA 3'-5' helicase Q1) (DNA helicase, RecQ-like type 1) (RecQ1) (DNA-dependent ATPase Q1) (RecQ protein-like 1)
Q14008	CKAP5	CKAP5 KIAA0097	Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein) (Ch-TOG)
Q8IY22	CMIP	CMIP KIAA1694 TCMIP	C-Maf-inducing protein (c-Mip) (Truncated c-Maf-inducing protein) (Tc-Mip)
Q15113	PCOC1	PCOLCE PCPE1	Procollagen C-endopeptidase enhancer 1 (Procollagen COOH-terminal proteinase enhancer 1) (PCPE-1) (Procollagen C-proteinase enhancer 1) (Type 1 procollagen C-proteinase enhancer protein) (Type I procollagen COOH-terminal proteinase enhancer)
O75461	E2F6	E2F6	Transcription factor E2F6 (E2F-6)
A8MVW0	F1712	FAM171A2	Protein FAM171A2
Q96RU7	TRIB3	TRIB3 C20orf97 NIPK SKIP3 TRB3	Tribbles homolog 3 (TRB-3) (Neuronal cell death-inducible putative kinase) (SINK) (p65-interacting inhibitor of NF-kappa-B)
Q15154	PCM1	PCM1	Pericentriolar material 1 protein (PCM-1) (hPCM-1)
A6NJ78	MET15	METTL15 METT5D1	12S rRNA N(4)-cytidine methyltransferase METTL15 (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15)
Q15388	TOM20	TOMM20 KIAA0016	Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)
Q8TDX7	NEK7	NEK7	Serine/threonine-protein kinase Nek7 (EC 2.7.11.34) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)
O60883	G37L1	GPR37L1 ETBRLP2	G-protein coupled receptor 37-like 1 (Endothelin B receptor-like protein 2) (ETBR-LP-2)
Q9NY12	GAR1	GAR1 NOLA1	H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)
Q8N6G5	CGAT2	CSGALNACT2 CHGN2 GALNACT2 PRO0082	Chondroitin sulfate N-acetylgalactosaminyltransferase 2 (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 2) (Beta4GalNAcT-2) (GalNAcT-2)
O14744	ANM5	PRMT5 HRMT1L5 IBP72 JBP1 SKB1	Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]
Q5MIZ7	P4R3B	PPP4R3B KIAA1387 PP4R3B SMEK2	Serine/threonine-protein phosphatase 4 regulatory subunit 3B (SMEK homolog 2)
O60337	MARH6	MARCHF6 KIAA0597 MARCH6 RNF176 TEB4	E3 ubiquitin-protein ligase MARCHF6 (EC 2.3.2.27) (Doa10 homolog) (Membrane-associated RING finger protein 6) (Membrane-associated RING-CH protein VI) (MARCH-VI) (Protein TEB-4) (RING finger protein 176) (RING-type E3 ubiquitin transferase MARCHF6)
P51531	SMCA2	SMARCA2 BAF190B BRM SNF2A SNF2L2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2 (SAMRCA2) (EC 3.6.4.-) (BRG1-associated factor 190B) (BAF190B) (Probable global transcription activator SNF2L2) (Protein brahma homolog) (hBRM) (SNF2-alpha)
Q8TBE3	FNDC9	FNDC9 C5orf40	Fibronectin type III domain-containing protein 9
Q8IVT4	Q8IVT4	MGC50722	Hypothetical MGC50722
Q01484	ANK2	ANK2 ANKB	Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin)
P46531	NOTC1	NOTCH1 TAN1	Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]
Q8N3Y7	RDHE2	SDR16C5 RDHE2	Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)
Q14566	MCM6	MCM6	DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)
Q16186	ADRM1	ADRM1 GP110	Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Proteasome regulatory particle non-ATPase 13) (hRpn13) (Rpn13 homolog)
Q86UK7	ZN598	ZNF598	E3 ubiquitin-protein ligase ZNF598 (EC 2.3.2.27) (Zinc finger protein 598)
Q92832	NELL1	NELL1 NRP1	Protein kinase C-binding protein NELL1 (NEL-like protein 1) (Nel-related protein 1)
P0CG47	UBB	UBB	Polyubiquitin-B [Cleaved into: Ubiquitin]
Q96SI1	KCD15	KCTD15	BTB/POZ domain-containing protein KCTD15 (Potassium channel tetramerization domain-containing protein 15)
O60437	PEPL	PPL KIAA0568	Periplakin (190 kDa paraneoplastic pemphigus antigen) (195 kDa cornified envelope precursor protein)
A0A0C4DG49	A0A0C4DG49	PVR hCG_1996181	PVR cell adhesion molecule (Poliovirus receptor, isoform CRA_c)
Q9Y2H0	DLGP4	DLGAP4 DAP4 KIAA0964 SAPAP4	Disks large-associated protein 4 (DAP-4) (PSD-95/SAP90-binding protein 4) (SAP90/PSD-95-associated protein 4) (SAPAP-4)
Q92973	TNPO1	TNPO1 KPNB2 MIP1 TRN	Transportin-1 (Importin beta-2) (Karyopherin beta-2) (M9 region interaction protein) (MIP)
Q14BN4	SLMAP	SLMAP KIAA1601 SLAP UNQ1847/PRO3577	Sarcolemmal membrane-associated protein (Sarcolemmal-associated protein)
Q99808	S29A1	SLC29A1 ENT1	Equilibrative nucleoside transporter 1 (hENT1) (Equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporter) (Equilibrative NBMPR-sensitive nucleoside transporter) (es nucleoside transporter) (Nucleoside transporter, es-type) (Solute carrier family 29 member 1)
Q8TBK6	ZCH10	ZCCHC10	Zinc finger CCHC domain-containing protein 10
Q9BRJ6	CHOLN	CHLSN C7orf50 FP15621	Protein cholesin
Q6PL24	TMED8	TMED8 FAM15B L10	Protein TMED8
Q9H2X6	HIPK2	HIPK2	Homeodomain-interacting protein kinase 2 (hHIPk2) (EC 2.7.11.1)
P78527	PRKDC	PRKDC HYRC HYRC1	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (Ser-473 kinase) (S473K) (p460)
O75330	HMMR	HMMR IHABP RHAMM	Hyaluronan mediated motility receptor (Intracellular hyaluronic acid-binding protein) (Receptor for hyaluronan-mediated motility) (CD antigen CD168)
Q9BYC9	RM20	MRPL20	Large ribosomal subunit protein bL20m (39S ribosomal protein L20, mitochondrial) (L20mt) (MRP-L20)
P07951	TPM2	TPM2 TMSB	Tropomyosin beta chain (Beta-tropomyosin) (Tropomyosin-2)
Q96EH3	MASU1	MALSU1 C7orf30	Mitochondrial assembly of ribosomal large subunit protein 1
Q92736	RYR2	RYR2	Ryanodine receptor 2 (RYR-2) (RyR2) (hRYR-2) (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Type 2 ryanodine receptor)
P12314	FCGR1	FCGR1A FCG1 FCGR1 IGFR1	High affinity immunoglobulin gamma Fc receptor I (IgG Fc receptor I) (Fc-gamma RI) (FcRI) (Fc-gamma RIA) (FcgammaRIa) (CD antigen CD64)
O00410	IPO5	IPO5 KPNB3 RANBP5	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)
Q13332	PTPRS	PTPRS	Receptor-type tyrosine-protein phosphatase S (R-PTP-S) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase sigma) (R-PTP-sigma)
Q8IUC6	TCAM1	TICAM1 PRVTIRB TRIF	TIR domain-containing adapter molecule 1 (TICAM-1) (Proline-rich, vinculin and TIR domain-containing protein B) (Putative NF-kappa-B-activating protein 502H) (Toll-interleukin-1 receptor domain-containing adapter protein inducing interferon beta) (MyD88-3) (TIR domain-containing adapter protein inducing IFN-beta)
P35226	BMI1	BMI1 PCGF4 RNF51	Polycomb complex protein BMI-1 (Polycomb group RING finger protein 4) (RING finger protein 51)
Q9NPQ8	RIC8A	RIC8A	Chaperone Ric-8A (Synembryn-A)
P39687	AN32A	ANP32A C15orf1 LANP MAPM PHAP1	Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI)
Q14005	IL16	IL16	Pro-interleukin-16 [Cleaved into: Interleukin-16 (IL-16) (Lymphocyte chemoattractant factor) (LCF)]
P48380	RFX3	RFX3	Transcription factor RFX3 (Regulatory factor X 3)
Q96RF0	SNX18	SNX18 SH3PXD3B	Sorting nexin-18 (SH3 and PX domain-containing protein 3B)
P13612	ITA4	ITGA4 CD49D	Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (VLA-4 subunit alpha) (CD antigen CD49d)
Q96SI9	STRBP	STRBP SPNR	Spermatid perinuclear RNA-binding protein
Q6P9F7	LRC8B	LRRC8B KIAA0231 UNQ6413/PRO21207	Volume-regulated anion channel subunit LRRC8B (Leucine-rich repeat-containing protein 8B) (T-cell activation leucine repeat-rich protein) (TA-LRRP)
Q5T7M9	DIK1A	DIPK1A FAM69A	Divergent protein kinase domain 1A (Protein FAM69A)
Q63HR2	TENS2	TNS2 KIAA1075 TENC1	Tensin-2 (EC 3.1.3.48) (C1 domain-containing phosphatase and tensin homolog) (C1-TEN) (Tensin-like C1 domain-containing phosphatase)
O94919	ENDD1	ENDOD1 KIAA0830	Endonuclease domain-containing 1 protein (EC 3.1.30.-)
Q9NZ52	GGA3	GGA3 KIAA0154	ADP-ribosylation factor-binding protein GGA3 (Golgi-localized, gamma ear-containing, ARF-binding protein 3)
O94766	B3GA3	B3GAT3	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 3) (Glucuronosyltransferase I) (GlcAT-I) (UDP-GlcUA:Gal beta-1,3-Gal-R glucuronyltransferase) (GlcUAT-I)
A8MTY0	ZN724	ZNF724 ZNF724P	Zinc finger protein 724
P83436	COG7	COG7 UNQ3082/PRO10013	Conserved oligomeric Golgi complex subunit 7 (COG complex subunit 7) (Component of oligomeric Golgi complex 7)
P34931	HS71L	HSPA1L	Heat shock 70 kDa protein 1-like (Heat shock 70 kDa protein 1L) (Heat shock 70 kDa protein 1-Hom) (HSP70-Hom) (Heat shock protein family A member 1L)
Q9H4L4	SENP3	SENP3 SSP3 SUSP3	Sentrin-specific protease 3 (EC 3.4.22.-) (SUMO-1-specific protease 3) (Sentrin/SUMO-specific protease SENP3)
Q6ICH7	ASPH2	ASPHD2	Aspartate beta-hydroxylase domain-containing protein 2 (EC 1.14.11.-)
G8JLG2	CDSN	CDSN	Corneodesmosin (S protein)
Q9H582	ZN644	ZNF644 KIAA1221 ZEP2	Zinc finger protein 644 (Zinc finger motif enhancer-binding protein 2) (Zep-2)
Q8IZU0	FAM9B	FAM9B TEX39B	Protein FAM9B
O75400	PR40A	PRPF40A FBP11 FLAF1 FNBP3 HIP10 HYPA HSPC225	Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6)
Q9UJK0	TSR3	TSR3 C16orf42 UND313L	18S rRNA aminocarboxypropyltransferase (EC 2.5.1.157) (20S S rRNA accumulation protein 3 homolog) (HsTsr3)
Q8IYK4	GT252	COLGALT2 C1orf17 GLT25D2 KIAA0584	Procollagen galactosyltransferase 2 (EC 2.4.1.50) (Collagen beta(1-O)galactosyltransferase 2) (ColGalT 2) (Glycosyltransferase 25 family member 2) (Hydroxylysine galactosyltransferase 2)
O14727	APAF	APAF1 KIAA0413	Apoptotic protease-activating factor 1 (APAF-1)
Q96D03	DDT4L	DDIT4L REDD2 RTP801L	DNA damage-inducible transcript 4-like protein (HIF-1 responsive protein RTP801-like) (Protein regulated in development and DNA damage response 2) (REDD-2)
Q9BVS5	TR61B	TRMT61B	tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial (EC 2.1.1.220) (mRNA methyladenosine-N(1)-methyltransferase) (EC 2.1.1.-)
Q92834	RPGR	RPGR RP3 XLRP3	X-linked retinitis pigmentosa GTPase regulator
O14657	TOR1B	TOR1B DQ1 FKSG18	Torsin-1B (Torsin ATPase-1B) (EC 3.6.4.-) (Torsin family 1 member B)
Q04323	UBXN1	UBXN1 SAKS1	UBX domain-containing protein 1 (SAPK substrate protein 1) (UBA/UBX 33.3 kDa protein)
Q8TEH3	DEN1A	DENND1A FAM31A KIAA1608	DENN domain-containing protein 1A (Connecdenn 1) (Connecdenn) (Protein FAM31A)
P55082	MFAP3	MFAP3	Microfibril-associated glycoprotein 3
Q6PGQ7	BORA	BORA C13orf34	Protein aurora borealis (HsBora)
P28331	NDUS1	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)
Q5SQ80	A20A2	ANKRD20A2P ANKRD20A2	Putative ankyrin repeat domain-containing protein 20A2 (Ankyrin repeat domain-containing protein 20A2 pseudogene)
Q96RN5	MED15	MED15 ARC105 CTG7A PCQAP TIG1 TNRC7	Mediator of RNA polymerase II transcription subunit 15 (Activator-recruited cofactor 105 kDa component) (ARC105) (CTG repeat protein 7a) (Mediator complex subunit 15) (Positive cofactor 2 glutamine/Q-rich-associated protein) (PC2 glutamine/Q-rich-associated protein) (TPA-inducible gene 1 protein) (TIG-1) (Trinucleotide repeat-containing gene 7 protein)
P25440	BRD2	BRD2 KIAA9001 RING3	Bromodomain-containing protein 2 (O27.1.1)
Q8TAP6	CEP76	CEP76 C18orf9	Centrosomal protein of 76 kDa (Cep76)
P19388	RPAB1	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (DNA-directed RNA polymerase II 23 kDa polypeptide) (DNA-directed RNA polymerase II subunit E) (RPB5 homolog) (XAP4)
Q86V42	F124A	FAM124A	Protein FAM124A
Q8WYA0	IFT81	IFT81 CDV1	Intraflagellar transport protein 81 homolog (Carnitine deficiency-associated protein expressed in ventricle 1) (CDV-1)
Q9NSY1	BMP2K	BMP2K BIKE HRIHFB2017	BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1)
Q13627	DYR1A	DYRK1A DYRK MNB MNBH	Dual specificity tyrosine-phosphorylation-regulated kinase 1A (EC 2.7.11.23) (EC 2.7.12.1) (Dual specificity YAK1-related kinase) (HP86) (Protein kinase minibrain homolog) (MNBH) (hMNB)
Q86WT6	TRI69	TRIM69 RNF36 HSD-34 HSD34	E3 ubiquitin-protein ligase TRIM69 (EC 2.3.2.27) (RFP-like domain-containing protein trimless) (RING finger protein 36) (RING-type E3 ubiquitin transferase TRIM69) (Tripartite motif-containing protein 69)
Q8TEW6	DOK4	DOK4	Docking protein 4 (Downstream of tyrosine kinase 4) (Insulin receptor substrate 5) (IRS-5) (IRS5)
Q7Z7H8	RM10	MRPL10 MRPL8 RPML8	Large ribosomal subunit protein uL10m (39S ribosomal protein L10, mitochondrial) (L10mt) (MRP-L10) (39S ribosomal protein L8, mitochondrial) (L8mt) (MRP-L8)
P15056	BRAF	BRAF BRAF1 RAFB1	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)
Q06609	RAD51	RAD51 RAD51A RECA	DNA repair protein RAD51 homolog 1 (HsRAD51) (hRAD51) (RAD51 homolog A)
Q969R5	LMBL2	L3MBTL2	Lethal(3)malignant brain tumor-like protein 2 (H-l(3)mbt-like protein 2) (L(3)mbt-like protein 2)
P05412	JUN	JUN	Transcription factor Jun (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (Transcription factor AP-1 subunit Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (p39)
O43364	HXA2	HOXA2 HOX1K	Homeobox protein Hox-A2 (Homeobox protein Hox-1K)
Q86TW2	ADCK1	ADCK1	AarF domain-containing protein kinase 1 (EC 2.7.-.-)
Q9H0U6	RM18	MRPL18 HSPC071	Large ribosomal subunit protein uL18m (39S ribosomal protein L18, mitochondrial) (L18mt) (MRP-L18)
Q9H2L4	TMM60	TMEM60 C7orf35 DC32	Transmembrane protein 60
O75909	CCNK	CCNK CPR4	Cyclin-K
